mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__alpha,param_classifier__learning_rate,param_classifier__loss,param_classifier__max_iter,param_classifier__penalty,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,param_classifier__n_estimators,param_classifier__C,param_classifier__bootstrap,param_classifier__max_depth,param_classifier__eta0,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,classifier_name
17.99383111000061,1.3094550313735147,0.23081932067871094,0.01628289755142093,RandomForestClassifier(),,,,,,,,,100,,False,3,,"{'classifier': RandomForestClassifier(), 'classifier__bootstrap': False, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,RandomForestClassifier
7.121521997451782,0.7444326654282605,0.3993481159210205,0.16156358925095524,SGDClassifier(),0.01,optimal,modified_huber,1000,l1,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.01, 'classifier__learning_rate': 'optimal', 'classifier__loss': 'modified_huber', 'classifier__max_iter': 1000, 'classifier__penalty': 'l1'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,SGDClassifier
23.099108600616454,2.0647322452732797,0.2868063449859619,0.03309724615245044,RandomForestClassifier(),,,,,,,,,100,,False,5,,"{'classifier': RandomForestClassifier(), 'classifier__bootstrap': False, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,RandomForestClassifier
46.21535096168518,4.272887998283488,0.4087705612182617,0.02756956150090343,RandomForestClassifier(),,,,,,,,,200,,True,5,,"{'classifier': RandomForestClassifier(), 'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,RandomForestClassifier
94.85584111213684,10.316038927705144,0.6969812870025635,0.01953806071340234,RandomForestClassifier(),,,,,,,,,400,,True,5,,"{'classifier': RandomForestClassifier(), 'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__n_estimators': 400}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,RandomForestClassifier
79.09604616165161,11.25214224400778,0.5562421321868897,0.034243881258448544,RandomForestClassifier(),,,,,,,,,400,,True,3,,"{'classifier': RandomForestClassifier(), 'classifier__bootstrap': True, 'classifier__max_depth': 3, 'classifier__n_estimators': 400}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,RandomForestClassifier
23.970721578598024,2.797119044683034,0.27436132431030275,0.013471381556118241,RandomForestClassifier(),,,,,,,,,100,,True,5,,"{'classifier': RandomForestClassifier(), 'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,RandomForestClassifier
45.71920714378357,4.04017006593195,0.32271151542663573,0.014956143029293776,RandomForestClassifier(),,,,,,,,,200,,True,3,,"{'classifier': RandomForestClassifier(), 'classifier__bootstrap': True, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,RandomForestClassifier
24.826306056976318,2.338078136266039,0.22794651985168457,0.012013094800988439,RandomForestClassifier(),,,,,,,,,100,,True,3,,"{'classifier': RandomForestClassifier(), 'classifier__bootstrap': True, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,RandomForestClassifier
64.85222969055175,0.85483524558208,0.2567722320556641,0.013578500871155858,GradientBoostingClassifier(),,0.01,,,,,,,200,,,,,"{'classifier': GradientBoostingClassifier(), 'classifier__learning_rate': 0.01, 'classifier__n_estimators': 200}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,GradientBoostingClassifier
31.285346126556398,1.05244784412302,0.19160470962524415,0.016843040136804144,GradientBoostingClassifier(),,0.01,,,,,,,100,,,,,"{'classifier': GradientBoostingClassifier(), 'classifier__learning_rate': 0.01, 'classifier__n_estimators': 100}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,GradientBoostingClassifier
3.278631496429443,0.6173731950142067,0.0,0.0,SGDClassifier(),0.0001,optimal,log,1000,l2,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.0001, 'classifier__learning_rate': 'optimal', 'classifier__loss': 'log', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,89,SGDClassifier
3.8102719306945803,0.1887989010488697,0.0,0.0,SGDClassifier(),0.0001,optimal,log,1000,l1,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.0001, 'classifier__learning_rate': 'optimal', 'classifier__loss': 'log', 'classifier__max_iter': 1000, 'classifier__penalty': 'l1'}",,,,,,,,89,SGDClassifier
3.7715291023254394,0.3421157918080326,0.0,0.0,SGDClassifier(),0.0001,optimal,log,1000,elasticnet,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.0001, 'classifier__learning_rate': 'optimal', 'classifier__loss': 'log', 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet'}",,,,,,,,89,SGDClassifier
